match_id,stage,is_knockout,date,venue_city,stadium,country,elevation_m,roof,sheltered,team,opponent,goals_for,goals_against,confederation,result
55,Group stage,False,2026-06-16,Kansas City,Arrowhead Stadium,USA,270,open,False,Algeria,Argentina,0,3,CAF,loss
58,Group stage,False,2026-06-22,San Francisco Bay Area (Santa Clara),Levi's Stadium,USA,9,open,False,Algeria,Jordan,2,1,CAF,win
59,Group stage,False,2026-06-27,Kansas City,Arrowhead Stadium,USA,270,open,False,Algeria,Austria,3,3,CAF,draw
85,Round of 32,True,2026-07-02,Vancouver,BC Place,Canada,5,retractable,True,Algeria,Switzerland,0,2,CAF,loss
55,Group stage,False,2026-06-16,Kansas City,Arrowhead Stadium,USA,270,open,False,Argentina,Algeria,3,0,CONMEBOL,win
57,Group stage,False,2026-06-22,Dallas (Arlington),AT&T Stadium,USA,180,retractable,True,Argentina,Austria,2,0,CONMEBOL,win
60,Group stage,False,2026-06-27,Dallas (Arlington),AT&T Stadium,USA,180,retractable,True,Argentina,Jordan,3,1,CONMEBOL,win
86,Round of 32,True,2026-07-03,Miami (Miami Gardens),Hard Rock Stadium,USA,2,canopy,True,Argentina,Cape Verde,3,2,CONMEBOL,win
95,Round of 16,True,2026-07-07,Atlanta,Mercedes-Benz Stadium,USA,320,retractable,True,Argentina,Egypt,3,2,CONMEBOL,win
100,Quarter-final,True,2026-07-11,Kansas City,Arrowhead Stadium,USA,270,open,False,Argentina,Switzerland,3,1,CONMEBOL,win
102,Semi-final,True,2026-07-15,Atlanta,Mercedes-Benz Stadium,USA,320,retractable,True,Argentina,England,2,1,CONMEBOL,win
104,Final,True,2026-07-19,New York/New Jersey (East Rutherford),MetLife Stadium,USA,5,open,False,Argentina,Spain,0,1,CONMEBOL,loss
20,Group stage,False,2026-06-13,Vancouver,BC Place,Canada,5,retractable,True,Australia,Turkey,2,0,AFC,win
21,Group stage,False,2026-06-19,Seattle,Lumen Field,USA,10,canopy,True,Australia,United States,0,2,AFC,loss
24,Group stage,False,2026-06-25,San Francisco Bay Area (Santa Clara),Levi's Stadium,USA,9,open,False,Australia,Paraguay,0,0,AFC,draw
88,Round of 32,True,2026-07-03,Dallas (Arlington),AT&T Stadium,USA,180,retractable,True,Australia,Egypt,1,1,AFC,draw
56,Group stage,False,2026-06-16,San Francisco Bay Area (Santa Clara),Levi's Stadium,USA,9,open,False,Austria,Jordan,3,1,UEFA,win
57,Group stage,False,2026-06-22,Dallas (Arlington),AT&T Stadium,USA,180,retractable,True,Austria,Argentina,0,2,UEFA,loss
59,Group stage,False,2026-06-27,Kansas City,Arrowhead Stadium,USA,270,open,False,Austria,Algeria,3,3,UEFA,draw
84,Round of 32,True,2026-07-02,Los Angeles (Inglewood),SoFi Stadium,USA,30,canopy,True,Austria,Spain,0,3,UEFA,loss
37,Group stage,False,2026-06-15,Seattle,Lumen Field,USA,10,canopy,True,Belgium,Egypt,1,1,UEFA,draw
39,Group stage,False,2026-06-21,Los Angeles (Inglewood),SoFi Stadium,USA,30,canopy,True,Belgium,Iran,0,0,UEFA,draw
42,Group stage,False,2026-06-26,Vancouver,BC Place,Canada,5,retractable,True,Belgium,New Zealand,5,1,UEFA,win
82,Round of 32,True,2026-07-01,Seattle,Lumen Field,USA,10,canopy,True,Belgium,Senegal,3,2,UEFA,win
94,Round of 16,True,2026-07-06,Seattle,Lumen Field,USA,10,canopy,True,Belgium,United States,4,1,UEFA,win
98,Quarter-final,True,2026-07-10,Los Angeles (Inglewood),SoFi Stadium,USA,30,canopy,True,Belgium,Spain,1,2,UEFA,loss
7,Group stage,False,2026-06-12,Toronto,BMO Field,Canada,80,open,False,Bosnia and Herzegovina,Canada,1,1,UEFA,draw
9,Group stage,False,2026-06-18,Los Angeles (Inglewood),SoFi Stadium,USA,30,canopy,True,Bosnia and Herzegovina,Switzerland,1,4,UEFA,loss
12,Group stage,False,2026-06-24,Seattle,Lumen Field,USA,10,canopy,True,Bosnia and Herzegovina,Qatar,3,1,UEFA,win
81,Round of 32,True,2026-07-01,San Francisco Bay Area (Santa Clara),Levi's Stadium,USA,9,open,False,Bosnia and Herzegovina,United States,0,2,UEFA,loss
13,Group stage,False,2026-06-13,New York/New Jersey (East Rutherford),MetLife Stadium,USA,5,open,False,Brazil,Morocco,1,1,CONMEBOL,draw
16,Group stage,False,2026-06-19,Philadelphia,Lincoln Financial Field,USA,10,open,False,Brazil,Haiti,3,0,CONMEBOL,win
17,Group stage,False,2026-06-24,Miami (Miami Gardens),Hard Rock Stadium,USA,2,canopy,True,Brazil,Scotland,3,0,CONMEBOL,win
76,Round of 32,True,2026-06-29,Houston,NRG Stadium,USA,15,retractable,True,Brazil,Japan,2,1,CONMEBOL,win
91,Round of 16,True,2026-07-05,New York/New Jersey (East Rutherford),MetLife Stadium,USA,5,open,False,Brazil,Norway,1,2,CONMEBOL,loss
7,Group stage,False,2026-06-12,Toronto,BMO Field,Canada,80,open,False,Canada,Bosnia and Herzegovina,1,1,CONCACAF,draw
10,Group stage,False,2026-06-18,Vancouver,BC Place,Canada,5,retractable,True,Canada,Qatar,6,0,CONCACAF,win
11,Group stage,False,2026-06-24,Vancouver,BC Place,Canada,5,retractable,True,Canada,Switzerland,1,2,CONCACAF,loss
73,Round of 32,True,2026-06-28,Los Angeles (Inglewood),SoFi Stadium,USA,30,canopy,True,Canada,South Africa,1,0,CONCACAF,win
90,Round of 16,True,2026-07-04,Houston,NRG Stadium,USA,15,retractable,True,Canada,Morocco,0,3,CONCACAF,loss
43,Group stage,False,2026-06-15,Atlanta,Mercedes-Benz Stadium,USA,320,retractable,True,Cape Verde,Spain,0,0,CAF,draw
